source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00000-733-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3965,,7930,0,0
00001-734-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3886,,7772,0,0
00002-735-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3995,,7990,0,0
00003-736-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4046,,8092,0,0
00003-736-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3958,,7916,0,0
00004-737-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3974,,7948,0,0
00005-738-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3880,,7760,0,0
00005-738-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3972,,7944,0,0
00005-738-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,bitmap,4129,,8192,0,0
00006-739-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4007,,8014,0,0
00006-739-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3925,,7850,0,0
00007-740-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3953,,7906,0,0
00008-741-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,bitmap,4107,,8192,0,0
00008-741-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3970,,7940,0,0
00009-742-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3959,,7918,0,0
00010-743-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4003,,8006,0,0
00012-744-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4006,,8012,0,0
00012-744-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3954,,7908,0,0
00013-745-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3991,,7982,0,0
00014-746-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3902,,7804,0,0
00015-747-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3984,,7968,0,0
00015-747-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,4071,,8142,0,0
00015-747-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,4087,,8174,0,0
00015-747-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,3,0,array,3980,,7960,0,0
00016-748-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,bitmap,4116,,8192,0,0
00016-748-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3931,,7862,0,0
00016-748-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,4059,,8118,0,0
00016-748-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,3,0,array,4010,,8020,0,0
00017-749-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3977,,7954,0,0
00017-749-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3987,,7974,0,0
00017-749-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,3964,,7928,0,0
00018-750-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4025,,8050,0,0
00020-751-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3928,,7856,0,0
00022-752-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3960,,7920,0,0
00022-752-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,4072,,8144,0,0
00022-752-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,3995,,7990,0,0
00023-753-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3875,,7750,0,0
00023-753-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3847,,7694,0,0
00023-753-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,3917,,7834,0,0
00023-753-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,3,0,array,4083,,8166,0,0
00023-753-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,4,0,array,3988,,7976,0,0
00025-754-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3866,,7732,0,0
00025-754-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3991,,7982,0,0
00025-754-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,4090,,8180,0,0
00025-754-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,3,0,array,3978,,7956,0,0
00026-755-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,4056,,8112,0,0
00026-755-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,1,0,array,3993,,7986,0,0
00026-755-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,2,0,array,3927,,7854,0,0
00026-755-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,3,0,array,3863,,7726,0,0
00027-756-232a9e52-0f5f-471a-b853-f18515b84477-00001-deletes.puffin,0,0,array,3921,,7842,0,0
