source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,0,array,3880,,7760,0,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,1,array,3977,,7954,1,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,2,array,4030,,8060,2,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,3,array,4042,,8084,3,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,4,bitmap,4110,,8192,4,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,5,array,4033,,8066,5,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,6,array,3942,,7884,6,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,7,array,3975,,7950,7,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,8,array,4080,,8160,8,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,9,array,4073,,8146,9,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,10,array,4031,,8062,10,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,11,array,3921,,7842,11,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,12,array,4050,,8100,12,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,13,array,3976,,7952,13,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,14,array,3978,,7956,14,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,15,array,4021,,8042,15,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,16,array,4011,,8022,16,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,17,array,4083,,8166,17,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,18,array,3996,,7992,18,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,19,array,3962,,7924,19,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,20,array,3982,,7964,20,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,21,array,4047,,8094,21,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,22,array,3946,,7892,22,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,23,array,3989,,7978,23,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,24,array,4082,,8164,24,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,25,array,4083,,8166,25,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,26,array,4034,,8068,26,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,27,array,3987,,7974,27,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,28,bitmap,4129,,8192,28,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,29,array,4012,,8024,29,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,30,array,4040,,8080,30,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,31,array,4035,,8070,31,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,32,array,4008,,8016,32,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,33,array,4019,,8038,33,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,34,array,3982,,7964,34,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,35,array,4085,,8170,35,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,36,array,4014,,8028,36,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,37,array,3896,,7792,37,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,38,bitmap,4105,,8192,38,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,39,array,4027,,8054,39,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,40,bitmap,4136,,8192,40,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,41,array,3981,,7962,41,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,42,array,3966,,7932,42,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,43,array,3986,,7972,43,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,44,array,4041,,8082,44,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,45,bitmap,4098,,8192,45,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,46,array,3987,,7974,46,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,47,array,3916,,7832,47,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,48,array,4011,,8022,48,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,49,array,3968,,7936,49,0
00039-33-7a1f0417-e76a-4b82-ad11-3c9d999201be-00001-deletes.puffin,0,50,array,3945,,7890,50,0
