source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,0,array,41,,82,0,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,1,array,42,,84,1,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,2,array,26,,52,2,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,3,array,42,,84,3,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,4,array,42,,84,4,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,5,array,33,,66,5,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,6,array,36,,72,6,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,7,array,45,,90,7,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,8,array,35,,70,8,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,9,array,44,,88,9,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,10,array,35,,70,10,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,11,array,33,,66,11,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,12,array,27,,54,12,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,13,array,36,,72,13,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,14,array,33,,66,14,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,15,array,39,,78,15,0
00010-13-eb4bfe9c-507a-4188-a0e4-8561c65b50db-00001-deletes.puffin,0,16,array,36,,72,16,0
