source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,4035,,8070,0,0
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,4017,,8034,0,0
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,2,0,array,4094,,8188,0,0
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,3,0,array,3995,,7990,0,0
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,4,0,array,3935,,7870,0,0
00000-733-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,5,0,array,4012,,8024,0,0
00001-734-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,4002,,8004,0,0
00001-734-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,3911,,7822,0,0
00001-734-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,2,0,array,3855,,7710,0,0
00001-734-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,3,0,array,3971,,7942,0,0
00002-735-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,3895,,7790,0,0
00002-735-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,4019,,8038,0,0
00003-736-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,3956,,7912,0,0
00003-736-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,4071,,8142,0,0
00003-736-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,2,0,array,4036,,8072,0,0
00003-736-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,3,0,array,4001,,8002,0,0
00003-736-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,4,0,array,4043,,8086,0,0
00004-737-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,3961,,7922,0,0
00004-737-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,3962,,7924,0,0
00004-737-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,2,0,array,3936,,7872,0,0
00005-738-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,array,4061,,8122,0,0
00005-738-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,1,0,array,4072,,8144,0,0
00006-739-65b43434-cca9-4afc-9988-83a76add6827-00001-deletes.puffin,0,0,bitmap,4105,,8192,0,0
