source,blob,key,container,cardinality,runs,bytes,chunk,hi_key
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,0,array,311,,622,0,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,2,array,316,,632,2,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,3,array,325,,650,3,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,5,array,348,,696,5,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,6,array,332,,664,6,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,7,array,324,,648,7,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,10,array,330,,660,10,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,13,array,334,,668,13,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,19,array,346,,692,19,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,20,array,299,,598,20,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,24,array,312,,624,24,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,27,array,323,,646,27,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,28,array,356,,712,28,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,32,array,365,,730,32,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,33,array,338,,676,33,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,34,array,330,,660,34,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,35,array,350,,700,35,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,36,array,316,,632,36,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,37,array,310,,620,37,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,40,array,333,,666,40,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,42,array,324,,648,42,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,44,array,346,,692,44,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,45,array,307,,614,45,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,48,array,345,,690,48,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,49,array,310,,620,49,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,51,array,334,,668,51,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,52,array,327,,654,52,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,53,array,332,,664,53,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,54,array,323,,646,54,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,55,array,333,,666,55,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,57,array,365,,730,57,0
00122-33-d2901c56-a04a-46d1-a90c-fee9e830ddd9-00001-deletes.puffin,0,58,array,293,,586,58,0
